date,prediction,actual,correct,confidence
2025-09-19,0,1,0,0.5344
2025-09-22,0,1,0,0.8244
2025-09-23,1,0,0,0.7875
2025-09-24,1,0,0,0.7293
2025-09-25,1,0,0,0.8842
2025-09-26,1,1,1,0.9813
2025-09-29,1,1,1,0.9605
2025-09-30,1,1,1,0.9921
2025-10-01,1,1,1,0.5468
2025-10-02,0,1,0,0.6546
2025-10-03,1,1,1,0.6896
2025-10-06,1,1,1,0.6867
2025-10-07,1,0,0,0.7682
2025-10-08,1,1,1,0.6558
2025-10-09,1,0,0,0.7811
2025-10-10,0,0,1,0.6937
2025-10-13,1,1,1,0.7215
2025-10-14,0,0,1,0.9758
2025-10-15,0,1,0,0.9729
2025-10-16,1,0,0,0.9053
2025-10-17,1,1,1,0.8533
2025-10-20,0,1,0,0.9883
2025-10-21,1,1,1,0.9996
2025-10-22,0,0,1,0.5966
2025-10-23,1,1,1,0.7813
2025-10-24,0,1,0,0.7947
2025-10-27,1,1,1,0.9867
2025-10-28,0,1,0,0.7643
2025-10-29,1,0,0,0.982
2025-10-30,1,0,0,0.988
2025-10-31,1,1,1,0.9147
2025-11-03,1,1,1,0.8688
2025-11-04,1,0,0,0.9798
2025-11-05,1,1,1,0.9751
2025-11-06,0,0,1,0.7368
2025-11-07,1,1,1,0.9976
2025-11-10,0,1,0,0.5579
2025-11-11,1,1,1,0.9955
2025-11-12,0,1,0,0.5379
2025-11-13,1,0,0,0.9424
2025-11-14,0,0,1,0.7622
2025-11-17,0,0,1,0.9319
2025-11-18,1,0,0,0.9585
2025-11-19,1,1,1,0.9626
2025-11-20,1,0,0,0.9934
2025-11-21,1,1,1,0.9984
2025-11-24,1,1,1,0.9237
2025-11-25,1,1,1,0.974
2025-11-26,1,1,1,0.9953
2025-11-28,1,1,1,0.9966
2025-12-01,1,0,0,0.9865
2025-12-02,1,1,1,0.9802
2025-12-03,1,1,1,0.9965
2025-12-04,1,1,1,0.9987
2025-12-05,1,1,1,0.9998
2025-12-08,1,0,0,0.9996
2025-12-09,1,0,0,1.0
2025-12-10,1,1,1,1.0
2025-12-11,1,1,1,0.9984
2025-12-12,1,0,0,0.9944
2025-12-15,1,0,0,0.9504
2025-12-16,1,0,0,0.9803
2025-12-17,1,0,0,0.9886
2025-12-18,1,1,1,0.9998
2025-12-19,1,1,1,0.9998
2025-12-22,1,1,1,0.9787
2025-12-23,0,1,0,0.7016
2025-12-24,0,1,0,0.6911
2025-12-26,0,0,1,0.5749
2025-12-29,0,0,1,0.6031
2025-12-30,0,0,1,0.8038
2025-12-31,0,0,1,0.951
2026-01-02,1,1,1,0.8422
2026-01-05,1,1,1,0.8599
2026-01-06,1,1,1,0.9942
2026-01-07,1,0,0,0.555
2026-01-08,0,1,0,0.9306
2026-01-09,0,1,0,0.9706
2026-01-12,0,1,0,0.9967
2026-01-13,1,0,0,0.7582
2026-01-14,0,0,1,0.9415
2026-01-15,1,1,1,0.7782
2026-01-16,1,0,0,0.5653
2026-01-20,1,0,0,0.996
2026-01-21,1,1,1,0.8195
2026-01-22,0,1,0,0.913
2026-01-23,1,1,1,0.6548
2026-01-26,1,1,1,0.7816
2026-01-27,1,1,1,0.7467
2026-01-28,0,0,1,0.7971
2026-01-29,1,0,0,0.7657
2026-01-30,0,0,1,0.6395
2026-02-02,1,1,1,0.7393
2026-02-03,1,0,0,0.8569
2026-02-04,1,0,0,0.9807
2026-02-05,1,0,0,0.9168
2026-02-06,1,1,1,0.8763
2026-02-09,0,1,0,0.7611
2026-02-10,0,0,1,0.8234
2026-02-11,0,0,1,0.5282
2026-02-12,1,0,0,0.6227
2026-02-13,1,1,1,0.8836
2026-02-17,1,1,1,0.6054
2026-02-18,1,1,1,0.8217
2026-02-19,1,0,0,0.9831
2026-02-20,1,1,1,0.9947
2026-02-23,1,0,0,0.972
2026-02-24,1,1,1,0.9589
2026-02-25,1,1,1,0.9939
2026-02-26,1,0,0,0.8766
2026-02-27,1,0,0,0.8405
2026-03-02,0,1,0,0.9511
2026-03-03,0,0,1,0.9665
2026-03-04,0,1,0,0.9506
2026-03-05,0,0,1,0.9854
2026-03-06,0,0,1,0.9166
2026-03-09,0,1,0,0.6081
2026-03-10,1,0,0,0.5801
2026-03-11,1,0,0,0.8726
2026-03-12,1,0,0,0.9454
2026-03-13,1,0,0,0.9726
2026-03-16,1,1,1,0.9816
2026-03-17,1,1,1,0.9614
2026-03-18,1,0,0,0.9577
2026-03-19,1,0,0,0.9869
2026-03-20,1,0,0,0.9781
2026-03-23,1,1,1,0.9773
2026-03-24,1,0,0,0.955
2026-03-25,1,1,1,0.9806
2026-03-26,1,0,0,0.9759
2026-03-27,1,0,0,0.9908
2026-03-30,1,0,0,0.9801
2026-03-31,1,1,1,0.9849
2026-04-01,1,1,1,0.9893
2026-04-02,1,1,1,0.9875
2026-04-06,1,1,1,0.9739
2026-04-07,1,1,1,0.9584
2026-04-08,1,1,1,0.9643
2026-04-09,1,1,1,0.9896
2026-04-10,1,0,0,0.6711
2026-04-13,1,1,1,0.581
2026-04-14,0,1,0,0.7372
2026-04-15,0,1,0,0.5469
2026-04-16,0,1,0,0.8561
2026-04-17,0,1,0,0.8134
2026-04-20,1,,,
